12.5210 	EXP 	window1: blendMode = 'avg'
12.5377 	EXP 	window1: blendMode = 'avg'
12.5543 	EXP 	window1: blendMode = 'avg'
12.5709 	EXP 	window1: blendMode = 'avg'
12.5877 	EXP 	window1: blendMode = 'avg'
12.6043 	EXP 	window1: blendMode = 'avg'
12.6210 	EXP 	window1: blendMode = 'avg'
12.6376 	EXP 	window1: blendMode = 'avg'
12.6543 	EXP 	window1: blendMode = 'avg'
12.7092 	EXP 	window1: blendMode = 'avg'
12.7416 	EXP 	window1: blendMode = 'avg'
12.7756 	EXP 	window1: blendMode = 'avg'
12.8446 	EXP 	window1: blendMode = 'avg'
12.8796 	EXP 	window1: blendMode = 'avg'
12.9158 	EXP 	window1: blendMode = 'avg'
12.9235 	EXP 	window1: blendMode = 'avg'
12.9376 	EXP 	window1: blendMode = 'avg'
12.9542 	EXP 	window1: blendMode = 'avg'
12.9708 	EXP 	window1: blendMode = 'avg'
12.9875 	EXP 	window1: blendMode = 'avg'
13.0041 	EXP 	window1: blendMode = 'avg'
13.0208 	EXP 	window1: blendMode = 'avg'
13.0375 	EXP 	window1: blendMode = 'avg'
13.0541 	EXP 	window1: blendMode = 'avg'
13.0708 	EXP 	window1: blendMode = 'avg'
13.0875 	EXP 	window1: blendMode = 'avg'
13.1236 	EXP 	window1: blendMode = 'avg'
13.1586 	EXP 	window1: blendMode = 'avg'
13.1926 	EXP 	window1: blendMode = 'avg'
13.2266 	EXP 	window1: blendMode = 'avg'
13.2606 	EXP 	window1: blendMode = 'avg'
13.2946 	EXP 	window1: blendMode = 'avg'
13.3199 	EXP 	window1: blendMode = 'avg'
13.3375 	EXP 	window1: blendMode = 'avg'
13.3541 	EXP 	window1: blendMode = 'avg'
13.3708 	EXP 	window1: blendMode = 'avg'
13.3873 	EXP 	window1: blendMode = 'avg'
13.4316 	EXP 	window1: blendMode = 'avg'
13.4657 	EXP 	window1: blendMode = 'avg'
13.4694 	EXP 	window1: blendMode = 'avg'
13.4874 	EXP 	window1: blendMode = 'avg'
13.5044 	EXP 	window1: blendMode = 'avg'
13.5207 	EXP 	window1: blendMode = 'avg'
13.5656 	EXP 	window1: blendMode = 'avg'
13.5697 	EXP 	window1: blendMode = 'avg'
13.6007 	EXP 	window1: blendMode = 'avg'
13.6207 	EXP 	window1: blendMode = 'avg'
13.6373 	EXP 	window1: blendMode = 'avg'
13.6539 	EXP 	window1: blendMode = 'avg'
13.6706 	EXP 	window1: blendMode = 'avg'
13.6873 	EXP 	window1: blendMode = 'avg'
13.7040 	EXP 	window1: blendMode = 'avg'
13.7206 	EXP 	window1: blendMode = 'avg'
13.7372 	EXP 	window1: blendMode = 'avg'
13.7540 	EXP 	window1: blendMode = 'avg'
13.7706 	EXP 	window1: blendMode = 'avg'
13.7879 	EXP 	window1: blendMode = 'avg'
13.8039 	EXP 	window1: blendMode = 'avg'
13.8206 	EXP 	window1: blendMode = 'avg'
13.8372 	EXP 	window1: blendMode = 'avg'
13.8539 	EXP 	window1: blendMode = 'avg'
13.8706 	EXP 	window1: blendMode = 'avg'
13.8872 	EXP 	window1: blendMode = 'avg'
13.9039 	EXP 	window1: blendMode = 'avg'
13.9205 	EXP 	window1: blendMode = 'avg'
13.9375 	EXP 	window1: blendMode = 'avg'
13.9539 	EXP 	window1: blendMode = 'avg'
13.9705 	EXP 	window1: blendMode = 'avg'
13.9872 	EXP 	window1: blendMode = 'avg'
14.0048 	EXP 	window1: blendMode = 'avg'
14.0205 	EXP 	window1: blendMode = 'avg'
14.0428 	EXP 	window1: blendMode = 'avg'
14.0767 	EXP 	window1: blendMode = 'avg'
14.1097 	EXP 	window1: blendMode = 'avg'
14.1438 	EXP 	window1: blendMode = 'avg'
14.1777 	EXP 	window1: blendMode = 'avg'
14.2118 	EXP 	window1: blendMode = 'avg'
14.2459 	EXP 	window1: blendMode = 'avg'
14.2809 	EXP 	window1: blendMode = 'avg'
14.3147 	EXP 	window1: blendMode = 'avg'
14.3498 	EXP 	window1: blendMode = 'avg'
14.3839 	EXP 	window1: blendMode = 'avg'
14.4057 	EXP 	window1: blendMode = 'avg'
14.4204 	EXP 	window1: blendMode = 'avg'
14.4369 	EXP 	window1: blendMode = 'avg'
14.4537 	EXP 	window1: blendMode = 'avg'
14.4703 	EXP 	window1: blendMode = 'avg'
14.4869 	EXP 	window1: blendMode = 'avg'
14.5035 	EXP 	window1: blendMode = 'avg'
14.5202 	EXP 	window1: blendMode = 'avg'
14.5369 	EXP 	window1: blendMode = 'avg'
14.5536 	EXP 	window1: blendMode = 'avg'
14.5702 	EXP 	window1: blendMode = 'avg'
14.5868 	EXP 	window1: blendMode = 'avg'
14.6026 	EXP 	window1: blendMode = 'avg'
14.6202 	EXP 	window1: blendMode = 'avg'
14.6369 	EXP 	window1: blendMode = 'avg'
14.6535 	EXP 	window1: blendMode = 'avg'
14.6702 	EXP 	window1: blendMode = 'avg'
14.6869 	EXP 	window1: blendMode = 'avg'
14.7226 	EXP 	window1: blendMode = 'avg'
14.7369 	EXP 	window1: blendMode = 'avg'
14.7535 	EXP 	window1: blendMode = 'avg'
14.7701 	EXP 	window1: blendMode = 'avg'
14.7869 	EXP 	window1: blendMode = 'avg'
14.8035 	EXP 	window1: blendMode = 'avg'
14.8201 	EXP 	window1: blendMode = 'avg'
14.8367 	EXP 	window1: blendMode = 'avg'
14.8534 	EXP 	window1: blendMode = 'avg'
14.8701 	EXP 	window1: blendMode = 'avg'
14.8868 	EXP 	window1: blendMode = 'avg'
14.9035 	EXP 	window1: blendMode = 'avg'
14.9201 	EXP 	window1: blendMode = 'avg'
14.9367 	EXP 	window1: blendMode = 'avg'
14.9535 	EXP 	window1: blendMode = 'avg'
14.9702 	EXP 	window1: blendMode = 'avg'
14.9868 	EXP 	window1: blendMode = 'avg'
15.0035 	EXP 	window1: blendMode = 'avg'
15.0201 	EXP 	window1: blendMode = 'avg'
15.0367 	EXP 	window1: blendMode = 'avg'
15.0534 	EXP 	window1: blendMode = 'avg'
15.0700 	EXP 	window1: blendMode = 'avg'
15.0867 	EXP 	window1: blendMode = 'avg'
15.1035 	EXP 	window1: blendMode = 'avg'
15.1200 	EXP 	window1: blendMode = 'avg'
15.1366 	EXP 	window1: blendMode = 'avg'
15.1533 	EXP 	window1: blendMode = 'avg'
15.1699 	EXP 	window1: blendMode = 'avg'
15.1867 	EXP 	window1: blendMode = 'avg'
15.2033 	EXP 	window1: blendMode = 'avg'
15.2201 	EXP 	window1: blendMode = 'avg'
15.2366 	EXP 	window1: blendMode = 'avg'
15.2536 	EXP 	window1: blendMode = 'avg'
15.2700 	EXP 	window1: blendMode = 'avg'
15.2867 	EXP 	window1: blendMode = 'avg'
15.3034 	EXP 	window1: blendMode = 'avg'
15.3201 	EXP 	window1: blendMode = 'avg'
15.3366 	EXP 	window1: blendMode = 'avg'
15.3533 	EXP 	window1: blendMode = 'avg'
15.3702 	EXP 	window1: blendMode = 'avg'
15.4047 	EXP 	window1: blendMode = 'avg'
15.4418 	EXP 	window1: blendMode = 'avg'
15.4757 	EXP 	window1: blendMode = 'avg'
15.4889 	EXP 	window1: blendMode = 'avg'
15.5033 	EXP 	window1: blendMode = 'avg'
15.5199 	EXP 	window1: blendMode = 'avg'
15.5366 	EXP 	window1: blendMode = 'avg'
15.5532 	EXP 	window1: blendMode = 'avg'
15.5699 	EXP 	window1: blendMode = 'avg'
15.5865 	EXP 	window1: blendMode = 'avg'
15.6032 	EXP 	window1: blendMode = 'avg'
15.6198 	EXP 	window1: blendMode = 'avg'
15.6365 	EXP 	window1: blendMode = 'avg'
15.6532 	EXP 	window1: blendMode = 'avg'
15.6699 	EXP 	window1: blendMode = 'avg'
15.6865 	EXP 	window1: blendMode = 'avg'
15.7033 	EXP 	window1: blendMode = 'avg'
15.7200 	EXP 	window1: blendMode = 'avg'
15.7365 	EXP 	window1: blendMode = 'avg'
15.7535 	EXP 	window1: blendMode = 'avg'
15.7698 	EXP 	window1: blendMode = 'avg'
15.7865 	EXP 	window1: blendMode = 'avg'
15.8031 	EXP 	window1: blendMode = 'avg'
15.8198 	EXP 	window1: blendMode = 'avg'
15.8364 	EXP 	window1: blendMode = 'avg'
15.8532 	EXP 	window1: blendMode = 'avg'
15.8699 	EXP 	window1: blendMode = 'avg'
15.8864 	EXP 	window1: blendMode = 'avg'
15.9032 	EXP 	window1: blendMode = 'avg'
15.9198 	EXP 	window1: blendMode = 'avg'
15.9364 	EXP 	window1: blendMode = 'avg'
15.9531 	EXP 	window1: blendMode = 'avg'
15.9699 	EXP 	window1: blendMode = 'avg'
15.9866 	EXP 	window1: blendMode = 'avg'
16.0031 	EXP 	window1: blendMode = 'avg'
16.0197 	EXP 	window1: blendMode = 'avg'
16.0364 	EXP 	window1: blendMode = 'avg'
16.0530 	EXP 	window1: blendMode = 'avg'
16.0697 	EXP 	window1: blendMode = 'avg'
16.0864 	EXP 	window1: blendMode = 'avg'
16.1031 	EXP 	window1: blendMode = 'avg'
16.1197 	EXP 	window1: blendMode = 'avg'
16.1364 	EXP 	window1: blendMode = 'avg'
16.1531 	EXP 	window1: blendMode = 'avg'
16.1697 	EXP 	window1: blendMode = 'avg'
16.1863 	EXP 	window1: blendMode = 'avg'
16.2031 	EXP 	window1: blendMode = 'avg'
16.2197 	EXP 	window1: blendMode = 'avg'
16.2363 	EXP 	window1: blendMode = 'avg'
16.2530 	EXP 	window1: blendMode = 'avg'
16.2696 	EXP 	window1: blendMode = 'avg'
16.2863 	EXP 	window1: blendMode = 'avg'
16.3030 	EXP 	window1: blendMode = 'avg'
16.3197 	EXP 	window1: blendMode = 'avg'
16.3363 	EXP 	window1: blendMode = 'avg'
16.3530 	EXP 	window1: blendMode = 'avg'
16.3696 	EXP 	window1: blendMode = 'avg'
16.3863 	EXP 	window1: blendMode = 'avg'
16.4029 	EXP 	window1: blendMode = 'avg'
16.4197 	EXP 	window1: blendMode = 'avg'
16.4363 	EXP 	window1: blendMode = 'avg'
16.4529 	EXP 	window1: blendMode = 'avg'
16.4696 	EXP 	window1: blendMode = 'avg'
16.4864 	EXP 	window1: blendMode = 'avg'
16.5030 	EXP 	window1: blendMode = 'avg'
16.5197 	EXP 	window1: blendMode = 'avg'
16.5362 	EXP 	window1: blendMode = 'avg'
16.5529 	EXP 	window1: blendMode = 'avg'
16.5695 	EXP 	window1: blendMode = 'avg'
16.5862 	EXP 	window1: blendMode = 'avg'
16.6029 	EXP 	window1: blendMode = 'avg'
16.6195 	EXP 	window1: blendMode = 'avg'
16.6363 	EXP 	window1: blendMode = 'avg'
16.6529 	EXP 	window1: blendMode = 'avg'
16.6695 	EXP 	window1: blendMode = 'avg'
16.6861 	EXP 	window1: blendMode = 'avg'
16.7030 	EXP 	window1: blendMode = 'avg'
16.7197 	EXP 	window1: blendMode = 'avg'
16.7368 	EXP 	window1: blendMode = 'avg'
16.7529 	EXP 	window1: blendMode = 'avg'
16.7695 	EXP 	window1: blendMode = 'avg'
16.7862 	EXP 	window1: blendMode = 'avg'
16.8028 	EXP 	window1: blendMode = 'avg'
16.8195 	EXP 	window1: blendMode = 'avg'
16.8361 	EXP 	window1: blendMode = 'avg'
16.8529 	EXP 	window1: blendMode = 'avg'
16.8695 	EXP 	window1: blendMode = 'avg'
