20.6955 	EXP 	window1: blendMode = 'avg'
20.7122 	EXP 	window1: blendMode = 'avg'
20.7288 	EXP 	window1: blendMode = 'avg'
20.7455 	EXP 	window1: blendMode = 'avg'
20.7621 	EXP 	window1: blendMode = 'avg'
20.7788 	EXP 	window1: blendMode = 'avg'
20.7956 	EXP 	window1: blendMode = 'avg'
20.8121 	EXP 	window1: blendMode = 'avg'
20.8287 	EXP 	window1: blendMode = 'avg'
20.8455 	EXP 	window1: blendMode = 'avg'
20.8620 	EXP 	window1: blendMode = 'avg'
20.8787 	EXP 	window1: blendMode = 'avg'
20.8955 	EXP 	window1: blendMode = 'avg'
20.9121 	EXP 	window1: blendMode = 'avg'
20.9287 	EXP 	window1: blendMode = 'avg'
20.9454 	EXP 	window1: blendMode = 'avg'
20.9620 	EXP 	window1: blendMode = 'avg'
20.9787 	EXP 	window1: blendMode = 'avg'
20.9954 	EXP 	window1: blendMode = 'avg'
21.0121 	EXP 	window1: blendMode = 'avg'
21.0287 	EXP 	window1: blendMode = 'avg'
21.0453 	EXP 	window1: blendMode = 'avg'
21.0620 	EXP 	window1: blendMode = 'avg'
21.0787 	EXP 	window1: blendMode = 'avg'
21.0953 	EXP 	window1: blendMode = 'avg'
21.1120 	EXP 	window1: blendMode = 'avg'
21.1287 	EXP 	window1: blendMode = 'avg'
21.1454 	EXP 	window1: blendMode = 'avg'
21.1622 	EXP 	window1: blendMode = 'avg'
21.1787 	EXP 	window1: blendMode = 'avg'
21.1953 	EXP 	window1: blendMode = 'avg'
21.2120 	EXP 	window1: blendMode = 'avg'
21.2287 	EXP 	window1: blendMode = 'avg'
21.2453 	EXP 	window1: blendMode = 'avg'
21.2621 	EXP 	window1: blendMode = 'avg'
21.2787 	EXP 	window1: blendMode = 'avg'
21.2953 	EXP 	window1: blendMode = 'avg'
21.3120 	EXP 	window1: blendMode = 'avg'
21.3286 	EXP 	window1: blendMode = 'avg'
21.3453 	EXP 	window1: blendMode = 'avg'
21.3620 	EXP 	window1: blendMode = 'avg'
21.3786 	EXP 	window1: blendMode = 'avg'
21.3952 	EXP 	window1: blendMode = 'avg'
21.4119 	EXP 	window1: blendMode = 'avg'
21.4285 	EXP 	window1: blendMode = 'avg'
21.4453 	EXP 	window1: blendMode = 'avg'
21.4619 	EXP 	window1: blendMode = 'avg'
21.4787 	EXP 	window1: blendMode = 'avg'
21.4952 	EXP 	window1: blendMode = 'avg'
21.5119 	EXP 	window1: blendMode = 'avg'
21.5285 	EXP 	window1: blendMode = 'avg'
21.5454 	EXP 	window1: blendMode = 'avg'
21.5619 	EXP 	window1: blendMode = 'avg'
21.5785 	EXP 	window1: blendMode = 'avg'
21.5952 	EXP 	window1: blendMode = 'avg'
21.6119 	EXP 	window1: blendMode = 'avg'
21.6285 	EXP 	window1: blendMode = 'avg'
21.6452 	EXP 	window1: blendMode = 'avg'
21.6619 	EXP 	window1: blendMode = 'avg'
21.6785 	EXP 	window1: blendMode = 'avg'
21.6952 	EXP 	window1: blendMode = 'avg'
21.7118 	EXP 	window1: blendMode = 'avg'
21.7285 	EXP 	window1: blendMode = 'avg'
21.7453 	EXP 	window1: blendMode = 'avg'
21.7618 	EXP 	window1: blendMode = 'avg'
21.7785 	EXP 	window1: blendMode = 'avg'
21.7951 	EXP 	window1: blendMode = 'avg'
21.8118 	EXP 	window1: blendMode = 'avg'
21.8285 	EXP 	window1: blendMode = 'avg'
21.8451 	EXP 	window1: blendMode = 'avg'
21.8618 	EXP 	window1: blendMode = 'avg'
21.8785 	EXP 	window1: blendMode = 'avg'
21.8952 	EXP 	window1: blendMode = 'avg'
21.9117 	EXP 	window1: blendMode = 'avg'
21.9285 	EXP 	window1: blendMode = 'avg'
21.9450 	EXP 	window1: blendMode = 'avg'
21.9617 	EXP 	window1: blendMode = 'avg'
21.9784 	EXP 	window1: blendMode = 'avg'
21.9951 	EXP 	window1: blendMode = 'avg'
22.0117 	EXP 	window1: blendMode = 'avg'
22.0284 	EXP 	window1: blendMode = 'avg'
22.0450 	EXP 	window1: blendMode = 'avg'
