26.4819 	EXP 	window1: blendMode = 'avg'
26.4986 	EXP 	window1: blendMode = 'avg'
26.5153 	EXP 	window1: blendMode = 'avg'
26.5320 	EXP 	window1: blendMode = 'avg'
26.5487 	EXP 	window1: blendMode = 'avg'
26.5653 	EXP 	window1: blendMode = 'avg'
26.5819 	EXP 	window1: blendMode = 'avg'
26.5986 	EXP 	window1: blendMode = 'avg'
26.6152 	EXP 	window1: blendMode = 'avg'
26.6319 	EXP 	window1: blendMode = 'avg'
26.6486 	EXP 	window1: blendMode = 'avg'
26.6652 	EXP 	window1: blendMode = 'avg'
26.6819 	EXP 	window1: blendMode = 'avg'
26.6986 	EXP 	window1: blendMode = 'avg'
26.7152 	EXP 	window1: blendMode = 'avg'
26.7319 	EXP 	window1: blendMode = 'avg'
26.7485 	EXP 	window1: blendMode = 'avg'
26.7652 	EXP 	window1: blendMode = 'avg'
26.7818 	EXP 	window1: blendMode = 'avg'
26.7988 	EXP 	window1: blendMode = 'avg'
26.8152 	EXP 	window1: blendMode = 'avg'
26.8319 	EXP 	window1: blendMode = 'avg'
26.8490 	EXP 	window1: blendMode = 'avg'
26.8652 	EXP 	window1: blendMode = 'avg'
26.8818 	EXP 	window1: blendMode = 'avg'
26.8984 	EXP 	window1: blendMode = 'avg'
26.9152 	EXP 	window1: blendMode = 'avg'
26.9318 	EXP 	window1: blendMode = 'avg'
26.9485 	EXP 	window1: blendMode = 'avg'
26.9651 	EXP 	window1: blendMode = 'avg'
26.9818 	EXP 	window1: blendMode = 'avg'
26.9987 	EXP 	window1: blendMode = 'avg'
27.0155 	EXP 	window1: blendMode = 'avg'
27.0319 	EXP 	window1: blendMode = 'avg'
27.0485 	EXP 	window1: blendMode = 'avg'
27.0651 	EXP 	window1: blendMode = 'avg'
27.0819 	EXP 	window1: blendMode = 'avg'
27.0984 	EXP 	window1: blendMode = 'avg'
27.1152 	EXP 	window1: blendMode = 'avg'
27.1317 	EXP 	window1: blendMode = 'avg'
27.1484 	EXP 	window1: blendMode = 'avg'
27.1651 	EXP 	window1: blendMode = 'avg'
27.1817 	EXP 	window1: blendMode = 'avg'
27.2038 	EXP 	window1: blendMode = 'avg'
27.2151 	EXP 	window1: blendMode = 'avg'
27.2326 	EXP 	window1: blendMode = 'avg'
27.2484 	EXP 	window1: blendMode = 'avg'
27.2651 	EXP 	window1: blendMode = 'avg'
27.2817 	EXP 	window1: blendMode = 'avg'
27.2984 	EXP 	window1: blendMode = 'avg'
27.3151 	EXP 	window1: blendMode = 'avg'
27.3317 	EXP 	window1: blendMode = 'avg'
