17.6193 	EXP 	window1: blendMode = 'avg'
17.6361 	EXP 	window1: blendMode = 'avg'
17.6526 	EXP 	window1: blendMode = 'avg'
17.6693 	EXP 	window1: blendMode = 'avg'
17.6860 	EXP 	window1: blendMode = 'avg'
17.7027 	EXP 	window1: blendMode = 'avg'
17.7193 	EXP 	window1: blendMode = 'avg'
17.7359 	EXP 	window1: blendMode = 'avg'
17.7526 	EXP 	window1: blendMode = 'avg'
17.7694 	EXP 	window1: blendMode = 'avg'
17.7859 	EXP 	window1: blendMode = 'avg'
17.8025 	EXP 	window1: blendMode = 'avg'
17.8193 	EXP 	window1: blendMode = 'avg'
17.8359 	EXP 	window1: blendMode = 'avg'
17.8528 	EXP 	window1: blendMode = 'avg'
17.8692 	EXP 	window1: blendMode = 'avg'
17.8859 	EXP 	window1: blendMode = 'avg'
17.9026 	EXP 	window1: blendMode = 'avg'
17.9190 	DATA 	Keypress: 1
17.9201 	EXP 	window1: blendMode = 'avg'
17.9354 	EXP 	select_eeg_system: autoDraw = False
17.9354 	EXP 	instr_text: autoDraw = True
17.9360 	EXP 	window1: blendMode = 'avg'
17.9526 	EXP 	window1: blendMode = 'avg'
17.9697 	EXP 	window1: blendMode = 'avg'
17.9860 	EXP 	window1: blendMode = 'avg'
18.0028 	EXP 	window1: blendMode = 'avg'
18.0192 	EXP 	window1: blendMode = 'avg'
18.0359 	EXP 	window1: blendMode = 'avg'
18.0525 	EXP 	window1: blendMode = 'avg'
18.0692 	EXP 	window1: blendMode = 'avg'
18.0859 	EXP 	window1: blendMode = 'avg'
18.1028 	EXP 	window1: blendMode = 'avg'
18.1193 	EXP 	window1: blendMode = 'avg'
18.1360 	EXP 	window1: blendMode = 'avg'
18.1526 	EXP 	window1: blendMode = 'avg'
18.1692 	EXP 	window1: blendMode = 'avg'
18.1860 	EXP 	window1: blendMode = 'avg'
18.2026 	EXP 	window1: blendMode = 'avg'
18.2192 	EXP 	window1: blendMode = 'avg'
18.2360 	EXP 	window1: blendMode = 'avg'
18.2525 	EXP 	window1: blendMode = 'avg'
18.2691 	EXP 	window1: blendMode = 'avg'
18.2859 	EXP 	window1: blendMode = 'avg'
18.3025 	EXP 	window1: blendMode = 'avg'
18.3191 	EXP 	window1: blendMode = 'avg'
18.3358 	EXP 	window1: blendMode = 'avg'
18.3525 	EXP 	window1: blendMode = 'avg'
18.3691 	EXP 	window1: blendMode = 'avg'
18.3860 	EXP 	window1: blendMode = 'avg'
18.4026 	EXP 	window1: blendMode = 'avg'
18.4191 	EXP 	window1: blendMode = 'avg'
18.4358 	EXP 	window1: blendMode = 'avg'
18.4525 	EXP 	window1: blendMode = 'avg'
18.4694 	EXP 	window1: blendMode = 'avg'
18.4858 	EXP 	window1: blendMode = 'avg'
18.5024 	EXP 	window1: blendMode = 'avg'
18.5192 	EXP 	window1: blendMode = 'avg'
18.5358 	EXP 	window1: blendMode = 'avg'
18.5524 	EXP 	window1: blendMode = 'avg'
18.5691 	EXP 	window1: blendMode = 'avg'
18.5857 	EXP 	window1: blendMode = 'avg'
18.6025 	EXP 	window1: blendMode = 'avg'
18.6191 	EXP 	window1: blendMode = 'avg'
18.6357 	EXP 	window1: blendMode = 'avg'
18.6524 	EXP 	window1: blendMode = 'avg'
18.6691 	EXP 	window1: blendMode = 'avg'
18.6857 	EXP 	window1: blendMode = 'avg'
18.7024 	EXP 	window1: blendMode = 'avg'
18.7190 	EXP 	window1: blendMode = 'avg'
18.7357 	EXP 	window1: blendMode = 'avg'
18.7524 	EXP 	window1: blendMode = 'avg'
18.7690 	EXP 	window1: blendMode = 'avg'
18.7857 	EXP 	window1: blendMode = 'avg'
18.8023 	EXP 	window1: blendMode = 'avg'
18.8189 	EXP 	window1: blendMode = 'avg'
18.8356 	EXP 	window1: blendMode = 'avg'
18.8524 	EXP 	window1: blendMode = 'avg'
18.8690 	EXP 	window1: blendMode = 'avg'
18.8856 	EXP 	window1: blendMode = 'avg'
18.9026 	EXP 	window1: blendMode = 'avg'
18.9190 	EXP 	window1: blendMode = 'avg'
18.9356 	EXP 	window1: blendMode = 'avg'
18.9524 	EXP 	window1: blendMode = 'avg'
18.9690 	EXP 	window1: blendMode = 'avg'
